Urtea,LineaKod,LineaIzena,BidaiaKop
2022,B9,Amara-Errondo-Puio,5017.0
2022,TB6,Ulía,11153.0
2021,13,Altza,2846680.0
2021,14,Bidebieta,996476.0
2021,16,Igeldo,380693.0
2021,17,Gros-Amara-Miramón,1646227.0
2021,18,Seminarioa,514468.0
2021,19,Aiete- Bera Bera,505509.0
2021,21,Mutualidades-Anoeta,386576.0
2021,23,Errondo-Puio,206660.0
2021,24,Altza-Gros-Antiguo,611169.0
2021,25,BentaBerri-Añorga,781761.0
2021,26,Amara-Martutene,1355563.0
2021,27,Altza-Intxaurrondo-Antiguo,597882.0
2021,28,Amara-Ospitaleak,3014548.0
2021,29,Intxaurrondo Sur,713051.0
2021,31,Intxaurrondo-Ospitaleak-Altza,709016.0
2021,32,Puio-Errondo,196360.0
2021,33,Larratxo-Intxaur-Antiguo-Berio,1016601.0
2021,35,Arriola-Antiguo-Aiete-Ospitale,168939.0
2021,36,SanRoque-Aldakonea,305330.0
2021,37,Rodil-Zorroaga,213247.0
2021,38,Trintxerpe-Altza-Molinao,83177.0
2021,40,Gros-Antiguo-Igara,393455.0
2021,41,Gros-Egia-Martutene,265566.0
2021,42,Aldapa - Egia,110267.0
2021,43,Anoeta-Igara,57719.0
2021,45,Estaciones Renfe-Bus Geltokiak- Antiguo-Aiete,426387.0
2021,46,Morlans,49903.0
2021,5,Benta Berri,2130416.0
2021,8,Gros-Intxaurrondo,584019.0
2021,9,Egia-Intxaurrondo,844182.0
2021,B1,BentaBerri-Berio-Añorga,7091.0
2021,B10,Zubiaurre-Bidebieta-Buenavista,6303.0
2021,B2,Aiete-Bera Bera,2883.0
2021,B3,Egia-Intxaurrondo,5502.0
2021,B4,Amara-Riberas-Martutene,7689.0
2021,B6,Altza,7930.0
2021,B7,Igeldo,384.0
2021,B8,Miraconcha-Benta Berri-Seminar,3594.0
2021,B9,Amara-Errondo-Puio,2383.0
2021,TB6,Ulía,16343.0
2020,13,Altza,2358173.0
2020,14,Bidebieta,796462.0
2020,16,Igeldo,251608.0
2020,17,Gros-Amara-Miramón,1242760.0
2020,18,Seminarioa,413326.0
2020,19,Aiete- Bera Bera,383892.0
2020,21,Mutualidades-Anoeta,245460.0
2020,23,Errondo-Puio,150533.0
2020,24,Altza-Gros-Antiguo,421886.0
2020,25,BentaBerri-Añorga,600296.0
2020,26,Amara-Martutene,1034976.0
2020,27,Altza-Intxaurrondo-Antiguo,412293.0
2020,28,Amara-Ospitaleak,2508554.0
2020,29,Intxaurrondo Sur,562139.0
2020,31,Intxaurrondo-Ospitaleak-Altza,498404.0
2020,32,Puio-Errondo,181060.0
2020,33,Larratxo-Intxaur-Antiguo-Berio,885566.0
2020,35,Arriola-Antiguo-Aiete-Ospitale,120629.0
2020,36,SanRoque-Aldakonea,241728.0
2020,37,Rodil-Zorroaga,167938.0
2020,38,Trintxerpe-Altza-Molinao,51782.0
2020,40,Gros-Antiguo-Igara,321995.0
2020,41,Gros-Egia-Martutene,174491.0
2020,42,Aldapa - Egia,76085.0
2020,43,Anoeta-Igara,33393.0
2020,45,Estaciones Renfe-Bus Geltokiak- Antiguo-Aiete,344730.0
2020,46,Morlans,37365.0
2020,5,Benta Berri,1772399.0
2020,8,Gros-Intxaurrondo,485967.0
2020,9,Egia-Intxaurrondo,711097.0
2020,B1,BentaBerri-Berio-Añorga,10666.0
2020,B10,Zubiaurre-Bidebieta-Buenavista,9727.0
