stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
2100,,"Amezketa - Eliz Kalea 6, Zumadi Eskola",43.045143691675456,-2.0851686989719695,2,0
2101,,"Amezketa - Eliz Kalea 7, Zumadi Eskola",43.04529577600617,-2.085043662951433,2,0
2700,,"Alegia - Bideberrieta 17 Parean, Renfe",43.100969333724066,-2.0981872892980777,2,0
1707,,"Tolosa - San Frantzisko Ibilbidea 1, Eliza",43.136572070895156,-2.074216063338521,2,0
1708,,"Tolosa - San Frantzisko Pasealekua 14, Renfe",43.134662986251406,-2.077552342850199,2,0
1709,,"Tolosa - San Esteban Auzoa 63, Benta Haundi",43.12620621441043,-2.0875021533823106,2,0
1711,,"Tolosa - Araba Etorbidea 5, Zubia",43.13318030729378,-2.082418923475599,2,0
2701,,Alegia - Larraitz Auzoa 40,43.09765153407482,-2.0953974425935233,2,0
2102,,"Amezketa - Joxean Tolosa Kalea 3 Parean, Ugarte",43.06841628761005,-2.084527873993128,2,0
2103,,"Amezketa - Alegiko Bidea 1 Parean, Zubillaga",43.05650434799133,-2.0881066206292527,2,0
2104,,"Amezketa - Bartolome Deunaren Kalea 37, Fernando Amezketarraren Plaza",43.04893601324559,-2.0875802797421157,2,0
2105,,Amezketa - Eliz 18 Parean,43.04454301665083,-2.0832500665206823,2,0
2706,,"Alegia - San Juan Kalea 61, Tontokalea",43.10057219744804,-2.098070231948007,2,0
2707,,Alegia - Erbeta Errepidea 2,43.105732674946566,-2.0947377054828227,2,0
2109,,Amezketa - Bartolome Deunaren Bidea 18,43.0504668628784,-2.0887117773534603,2,0
3204,,"Abaltzisketa - Abaltzisketa Hirigunea 22, San Juan Plaza",43.04734752356282,-2.1053701009196066,2,0
3206,,Abaltzisketa - Ipintza-garmendi Auzoa 1,43.046725923799876,-2.099596251530439,2,0
3209,,"Abaltzisketa - Larraitz Auzoa 12, Ermita",43.03695136792481,-2.099064012030873,2,0
1704,,Tolosa - Ibaiondo Kalea 1,43.136873487911146,-2.071408050129377,2,0
1710,,"Tolosa - San Esteban Auzoa 63 Parean, Bentaundi",43.1257829402455,-2.0874961515777555,2,0
2106,,"Amezketa - Alegiko Bidea 1, Zubillaga",43.05654907374985,-2.088069118324885,2,0
2107,,"Amezketa - Joxean Tolosa Kalea 4, Ugarte",43.06832595454951,-2.0844923718606987,2,0
2702,,Alegia - Larraitz Auzoa 9,43.097888255353446,-2.095725736424498,2,0
2703,,"Alegia - San Juan Kalea 38, Tontokalea",43.1006080189954,-2.0980451288102135,2,0
1712,,"Tolosa - Araba Etorbidea 5 Parean, Zubia",43.13306572328325,-2.08272801520197,2,0
1713,,"Tolosa - Oria Kalea, Zezen Plaza",43.13337960130534,-2.076969168487211,2,0
2108,,Amezketa - Bartolome Deunaren Bidea 19,43.05078307368131,-2.0888421611449113,2,0
2705,,"Alegia - Bideberrieta Kalea 9, Renfe",43.10110100067103,-2.097755250621053,2,0
3207,,Abaltzisketa - Ipintza-garmendi Auzoa 1 Parean,43.046662799886846,-2.0995848969737847,2,0
3208,,"Abaltzisketa - Larraitz Auzoa 2, Ermita",43.036803245555554,-2.0985505911822964,2,0
1729,,Tolosa - Santa Lutzia Ikastetxea,43.14721162892503,-2.0681647716748346,2,0
1701,,Tolosa - Asuncion Klinika,43.13959912743994,-2.068846028750571,2,0
3300,,"Berrobi - Jose Maria Goikoetxea Kalea 12, Telleri",43.14606012573598,-2.0293091132167564,2,0
3401,,"Elduain - Elduain Sakabanatua 48 Parean, Bentaberri",43.14403658125103,-2.0075625693677273,2,0
1714,,Tolosa - Ibarralde Kalea 2 - Tolosana,43.1341299555621,-2.0717692437826685,2,0
1803,,"Ibarra - Euskal Herria Kalea 18, Anbulategia",43.133098967785195,-2.069006134723818,2,0
1804,,"Ibarra - Euskal Herria Kalea 44, Kultur Etxea",43.132417777321066,-2.0638771548816606,2,0
1806,,"Ibarra - Euskal Herria Kalea 62, Ibarburu",43.13290438640034,-2.0606238248756528,2,0
3001,,"Belauntza - Beotibar Auzoa 8, Gure Txokoa",43.14244097487869,-2.0411469128448925,2,0
3301,,Berrobi - Jose Maria Goikoetxea Kalea 28 - Herrigunea,43.145456729310375,-2.026121282106205,2,0
3302,,"Berrobi - Jose Maria Goikoetxea Kalea 52, Ermita",43.1442542469393,-2.0213321001119455,2,0
2600,,"Berastegi - Eldua Auzoa 5, Paper-fabrika",43.14302710909049,-2.015793376707684,2,0
3402,,"Elduain - Elduain Hirigunea 53b, Goikoetxea",43.14171785689389,-2.0029026790237046,2,0
3403,,"Elduain - Elduain Hirigunea 1 Parean, Hilerria",43.140909443084254,-2.000038390843207,2,0
2601,,"Berastegi - Leitza-tolosa Etorbidea 12, Elduainalde",43.12673545172414,-1.980599159364172,2,0
2602,,Berastegi - Herriko Enparantza 1,43.12411074803815,-1.9791060798224018,2,0
1812,,"Ibarra - Okobio Auzoa 49, Industrialdea",43.13543503652357,-2.0573759325976595,2,0
2605,,Berastegi - Aiztunalde,43.13373055742049,-1.9875158535647786,2,0
2606,,"Berastegi - Elduainalde Auzoa 8, Ermita",43.13012146688256,-1.9846738837622875,2,0
1739,,"Tolosa - Izaskungo Aldapa 1a, Santa Klara Komentua",43.136614675533984,-2.071694771221479,2,0
3007,,Belauntza - Leitzako Errepidea 21 Parean,43.141597066854885,-2.0457591210953385,2,0
1702,,"Tolosa - Izaskungo Aldapa 2a, Santa Klara Komentua",43.13653354256533,-2.0716837027665505,2,0
