service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,0,0,0,0,0,0,1,20250801,20250831
11,1,0,0,0,0,0,0,20250801,20250831
13,1,1,1,1,0,0,0,20210913,20251231
14,0,0,0,0,0,1,0,20210913,20251231
15,0,0,0,0,1,0,0,20210913,20251231
16,0,0,0,0,0,1,0,20250801,20250831
7,0,0,0,0,0,0,1,20210913,20251231
8,0,1,1,1,0,0,0,20250801,20250831
9,0,0,0,0,1,0,0,20250801,20250831
